case_id,fix_number,fragment_reward,trigger_reward
1,3107,0.000,0.000
2,11649,0.000,0.000
3,2609,0.000,0.333
4,10074,1.000,
5,487,1.000,0.000
6,11893,0.000,0.000
7,10921,1.000,0.000
8,5244,0.000,0.000
9,5244,1.000,0.000
10,1486,0.000,0.000
11,3094,1.000,0.000
12,9422,1.000,0.000
13,5244,0.000,
14,3381,0.000,0.033
15,717,0.000,
16,2932,,0.000
17,717,0.000,0.000
18,68,1.000,0.000
19,1906,1.000,0.000
20,9240,0.000,1.000
21,10083,0.500,0.000
22,5366,0.000,0.000
23,5516,1.000,0.000
24,10788,0.000,
25,10368,0.000,1.000
26,535,0.000,
27,68,1.000,
28,10121,0.000,1.000
29,6225,0.000,0.000
30,1629,0.000,0.000
31,3399,1.000,0.000
32,4886,1.000,0.000
33,4886,1.000,0.000
34,356,0.000,0.000
35,10083,0.500,0.000
36,10921,0.000,1.000
37,1797,0.000,0.000
38,1906,0.000,0.000
39,8276,0.000,0.000
40,3107,0.000,0.000
41,5000,0.000,1.000
42,9422,0.667,0.000
43,9240,0.000,0.000
44,9808,0.000,
45,3094,0.000,0.000
46,10121,0.000,1.000
47,3107,,0.000
48,10074,0.000,0.000
49,3094,0.000,0.000
50,356,0.000,0.000
51,10788,1.000,0.000
52,1906,1.000,0.050
53,356,0.000,0.000
54,1906,0.000,0.000
55,11649,0.000,0.000
56,4886,1.000,
57,4886,0.667,0.000
58,3381,0.667,
59,1629,1.000,0.033
60,10121,1.000,0.000
61,2932,,0.000
62,535,0.000,0.000
63,4886,0.000,0.033
64,9808,0.000,0.050
65,9240,0.000,0.000
66,10083,0.500,0.000
67,3094,0.000,0.050
68,3094,1.000,0.000
69,9240,1.000,0.000
70,3399,0.000,
71,5244,0.000,0.000
72,68,1.000,0.000
73,11893,0.000,0.075
74,11893,0.000,0.100
75,535,1.000,0.000
76,11893,0.000,0.000
77,3381,0.667,0.000
78,717,0.000,0.000
79,9240,1.000,0.050
80,11649,0.000,0.033
81,11649,0.100,0.000
82,535,1.000,0.000
83,10074,0.000,0.050
84,2932,,0.000
85,3094,0.000,0.000
86,5516,1.000,0.000
87,3399,0.000,0.000
88,10788,0.000,0.050
89,1906,1.000,0.000
90,10074,1.000,0.000
91,356,0.000,0.000
92,68,0.000,0.000
93,5000,1.000,0.000
94,487,0.000,0.050
95,1629,1.000,0.033
96,5516,0.000,0.000
97,5516,0.000,
98,2932,,0.000
99,2609,0.000,0.000
100,10921,0.000,0.000
