case_id,fix_number,fragment_reward,trigger_reward
2,1674,1.000,0.000
3,53,1.000,0.033
4,68,1.000,0.000
5,1458,1.000,0.000
6,119,1.000,0.050
7,1467,1.000,0.000
8,166,1.000,0.000
9,1797,1.000,0.000
11,1486,1.000,0.050
12,1502,1.000,0.000
13,4245,0.600,0.040
14,221,0.500,0.000
15,1865,1.000,0.000
16,228,1.000,0.000
17,269,1.000,0.000
18,273,1.000,0.667
19,293,0.500,0.000
20,2932,0.667,0.000
22,2070,0.750,0.000
23,330,1.000,0.000
24,1504,1.000,0.000
25,344,1.000,0.050
26,356,0.667,0.000
28,371,0.667,0.000
29,373,1.000,0.000
30,375,1.000,0.000
31,376,0.500,0.000
32,389,0.667,0.000
33,393,1.000,0.000
34,400,1.000,0.000
35,4280,1.000,0.000
36,431,1.000,0.000
37,455,1.000,0.000
38,468,0.500,0.000
39,2119,1.000,0.000
40,487,1.000,0.000
41,512,1.000,0.000
42,523,1.000,0.000
43,555,1.000,0.000
44,556,1.000,0.000
45,559,1.000,0.000
47,599,1.000,0.000
48,3532,0.667,0.000
49,614,1.000,0.000
51,1433,1.000,0.000
52,696,1.000,0.000
53,704,1.000,0.800
54,1522,1.000,0.250
55,720,0.667,0.667
56,724,1.000,0.000
57,1533,1.000,0.000
58,732,1.000,0.000
59,758,0.667,0.000
60,770,1.000,0.000
61,780,1.000,0.000
65,2151,0.500,0.000
66,841,0.667,0.000
67,1452,0.667,0.000
69,894,1.000,0.000
70,2155,1.000,0.000
71,908,1.000,0.033
72,925,0.500,0.000
73,4517,1.000,0.500
74,932,1.000,0.000
75,1457,1.000,0.667
76,952,0.667,0.000
77,964,1.000,0.033
78,978,1.000,0.000
80,985,0.750,0.000
81,1006,0.750,0.025
82,1010,1.000,0.667
83,1034,1.000,0.000
84,1060,1.000,0.000
85,1067,0.667,0.167
87,4137,0.750,0.000
89,1121,0.500,0.000
90,1148,0.667,0.000
91,2562,0.600,0.000
92,1175,1.000,0.000
93,2594,0.750,0.000
94,1220,0.667,0.667
95,1227,1.000,0.000
96,4969,0.750,0.000
97,1294,1.000,0.667
98,1328,1.000,0.000
99,1331,0.500,0.025
100,1338,1.000,0.000
